ID,Phish URL,Submitted,Valid?,Online?
3775099,http://oanadinculescu.com/wp-includes/js/irsnew/index.php...,added on Jan 21st 2016 12:35 AM	by balomish,VALID PHISH,ONLINE
3775038,http://www.sigmaplantfinder.com.ng/magmi/web/uu/work/index.php...,added on Jan 21st 2016 12:28 AM	by balomish,VALID PHISH,ONLINE
3775036,http://ow.ly/Xi7kR,added on Jan 21st 2016 12:25 AM	by balomish,VALID PHISH,ONLINE
3775033,http://webcosweep.com/images/stories/headers/irs.gov/...,added on Jan 21st 2016 12:20 AM	by balomish,VALID PHISH,ONLINE
3775018,http://www.somason.net/wp/alpha.php,added on Jan 20th 2016 11:37 PM	by balomish,VALID PHISH,ONLINE
3774885,http://radiomaschine.com/wp-content/uploads/irs/ir/index.html...,added on Jan 20th 2016 11:23 PM	by balomish,VALID PHISH,ONLINE
3774882,http://lieluturismo.com.br/media/page/,added on Jan 20th 2016 11:16 PM	by balomish,VALID PHISH,ONLINE
3774878,http://awasong.com/home/IRs/IR/index.html,added on Jan 20th 2016 10:50 PM	by balomish,VALID PHISH,ONLINE
3774873,http://www.santabarbara.cl/components/com_wrapper/views/wrapper/tmpl/d...,added on Jan 20th 2016 10:22 PM	by balomish,VALID PHISH,ONLINE
3774872,http://bhubaneswarproperty.in/user/data/images/IRs/IR/index.html...,added on Jan 20th 2016 10:20 PM	by balomish,VALID PHISH,ONLINE
3774871,http://chrisauto323.com/wp-content/themes/twentythirteen/inc/IRS-Updat...,added on Jan 20th 2016 10:17 PM	by balomish,VALID PHISH,ONLINE
3774842,http://oanadinculescu.com/wp-includes/js/ir/rs/index.html...,added on Jan 20th 2016 9:58 PM	by balomish,VALID PHISH,ONLINE
3774791,http://46.183.219.133/wp-log.php,added on Jan 20th 2016 9:51 PM	by balomish,VALID PHISH,ONLINE
3774646,http://www.mrtteam.com/irs7834f/SmileIR/index.html...,added on Jan 20th 2016 9:38 PM	by balomish,VALID PHISH,ONLINE
3774564,http://www.orettemeijin.com/wp/pepper.php,added on Jan 20th 2016 9:31 PM	by balomish,VALID PHISH,ONLINE
3774504,http://professionefinanza.com/img/glyph/udss/,added on Jan 20th 2016 9:09 PM	by balomish,VALID PHISH,ONLINE
3774502,http://finanzastore.com/img/glyph/cmdkall/04b8a5453cd4aeaf5fe4f957a09c...,added on Jan 20th 2016 9:03 PM	by balomish,VALID PHISH,ONLINE
3774496,http://tutusforafricafoundation.org/u/usaa/index.htm...,added on Jan 20th 2016 8:51 PM	by brasilphish,VALID PHISH,ONLINE
3774495,http://loggen269.atspace.co.uk/Secure-Your-Accounts-Facebook/...,added on Jan 20th 2016 8:50 PM	by leofelix,VALID PHISH,ONLINE
3774493,http://upd3admin1-helpdesk.info,added on Jan 20th 2016 8:44 PM	by synitac,VALID PHISH,ONLINE